"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2605.086884,5.097589,"ops/ms",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,119.249717,0.233344,"MB/sec",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000265,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,48.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,89.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000387,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,118.286067,0.581726,"MB/sec",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000267,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,48.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,89.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod","sample",1,22916127,0.000417,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,116.808339,0.169969,"MB/sec",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002333,0.000488,"B/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,47.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000380,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000822,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004264,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.842624,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.017760,0.002646,"ms/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,72.375726,5.533756,"MB/sec",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6889.040000,22.020913,"B/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
