"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2817.860162,13.198167,"ops/ms",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,128.989402,0.604138,"MB/sec",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000245,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,94.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000357,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,128.146317,0.520867,"MB/sec",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000247,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,96.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod","sample",1,21976475,0.000375,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,128.695282,0.328835,"MB/sec",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002042,0.000449,"B/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,110.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000752,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004248,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.482176,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.014904,0.001925,"ms/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,81.627069,5.445325,"MB/sec",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6887.280000,19.416906,"B/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ContarImpares
