"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2363.723287,5.202097,"ops/ms",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,108.201488,0.238114,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000292,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,44.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,84.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000420,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,109.080039,0.234008,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000290,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,44.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,80.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod","sample",1,35937252,0.000453,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,105.251783,0.225074,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002578,0.000543,"B/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,43.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,93.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000410,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000451,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000461,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000461,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000551,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000641,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004036,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,0.119168,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016945,0.002367,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,73.692091,5.910593,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6883.600000,12.209504,"B/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
