"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2532.795743,11.705067,"ops/ms",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,115.940779,0.535810,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000272,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,47.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,85.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000404,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,113.355818,0.293187,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000279,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,46.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,87.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod","sample",1,39171892,0.000428,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,114.728552,0.186917,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002335,0.000466,"B/op",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,46.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,98.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000390,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000461,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000601,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.003808,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.727936,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.021864,0.002963,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,61.360835,6.706926,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6891.360000,36.400032,"B/op",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionHexadecimal
