"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2729.285606,8.317801,"ops/ms",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,124.934931,0.380761,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000253,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,95.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000368,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,124.412025,0.317321,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000254,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,94.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod","sample",1,22537172,0.000412,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,116.942334,0.237845,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002257,0.000476,"B/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,47.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000420,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000831,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004296,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.894400,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.017015,0.003577,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,68.481737,7.507869,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.000000,6.783058,"B/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
