"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2751.848779,13.638312,"ops/ms",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,125.967763,0.624306,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000251,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000375,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,122.065596,0.241068,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000259,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,92.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod","sample",1,21348205,0.000385,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,125.010871,0.169570,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002127,0.000456,"B/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,112.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000872,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004352,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.887680,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.009872,0.002110,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,83.655870,6.178500,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6881.760000,5.969091,"B/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionOctal
