"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2681.744893,6.456117,"ops/ms",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,122.758736,0.295580,"MB/sec",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000258,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,93.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000366,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,125.004651,0.504631,"MB/sec",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000253,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,92.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod","sample",1,20956450,0.000411,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,118.137019,0.424127,"MB/sec",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002292,0.000497,"B/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,48.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000410,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000962,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004264,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.945024,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.013590,0.002570,"ms/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,73.970654,7.571468,"MB/sec",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6884.000000,11.578859,"B/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
