"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2852.048415,11.650692,"ops/ms",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,130.554725,0.533282,"MB/sec",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000242,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,97.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000355,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,128.935153,0.322539,"MB/sec",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000245,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,96.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod","sample",1,20876485,0.000394,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,122.250425,0.264811,"MB/sec",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002158,0.000456,"B/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000872,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004336,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.798144,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.017798,0.002938,"ms/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,72.042076,6.871541,"MB/sec",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6887.760000,24.223196,"B/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
