"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2788.342001,7.474502,"ops/ms",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,127.638193,0.342148,"MB/sec",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000248,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,96.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000361,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,126.969585,0.423721,"MB/sec",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000249,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,94.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod","sample",1,21011599,0.000395,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,123.042910,0.333936,"MB/sec",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002161,0.000468,"B/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,103.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000420,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000832,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004328,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3.014656,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016671,0.002376,"ms/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,75.393045,6.545382,"MB/sec",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.080000,18.555372,"B/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DivisionNumeros
