"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2816.642216,20.066510,"ops/ms",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,128.933578,0.918615,"MB/sec",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000245,0.000002,"B/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,96.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000370,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,123.594275,0.366777,"MB/sec",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000256,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,93.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod","sample",1,21196818,0.000389,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,124.127521,0.134510,"MB/sec",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002112,0.000483,"B/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,108.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000471,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000821,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004296,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.789376,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.020311,0.002502,"ms/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,61.863928,5.949217,"MB/sec",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.640000,2.170578,"B/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
