"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3014.201867,8.194047,"ops/ms",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,137.977044,0.375126,"MB/sec",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000229,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,103.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000329,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,139.320636,0.452088,"MB/sec",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000227,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod","sample",1,23388346,0.000352,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,136.970433,0.247089,"MB/sec",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001871,0.000404,"B/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,120.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000320,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000581,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004076,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.875392,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.014961,0.001900,"ms/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,80.721558,6.155778,"MB/sec",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.880000,2.984545,"B/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Fuerza
