"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2804.808625,6.011844,"ops/ms",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,128.392099,0.275257,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000246,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,93.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000347,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,132.046342,0.588307,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000240,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod","sample",1,21639063,0.000379,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,126.715474,0.235301,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002226,0.000512,"B/op",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,112.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000390,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000842,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004304,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.641920,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.011802,0.002242,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,79.143378,6.717391,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.000000,6.783058,"B/op",Code.Java.Abacus.v1.Refactored.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionCoseno
