"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2675.486818,8.522338,"ops/ms",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,122.472375,0.390160,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000258,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,95.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000358,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,127.852943,0.642409,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000247,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,97.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod","sample",1,20876149,0.000392,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,122.247494,0.175820,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002183,0.000523,"B/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000912,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004336,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.902592,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.019671,0.002436,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,66.393490,4.898115,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6884.000000,11.578859,"B/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionTangente
