"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2938.658033,6.688383,"ops/ms",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,134.519232,0.306142,"MB/sec",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000235,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,101.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000330,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,138.888190,0.485337,"MB/sec",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000228,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod","sample",1,22947818,0.000360,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,134.385576,0.561232,"MB/sec",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001950,0.000420,"B/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,112.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000641,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004288,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.420736,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.015284,0.003047,"ms/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,70.303628,7.578201,"MB/sec",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6883.600000,12.209504,"B/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.LeyOhm
