"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2944.652287,6.869164,"ops/ms",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,134.793702,0.314424,"MB/sec",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000234,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,101.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000348,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,131.376972,0.257273,"MB/sec",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000241,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,112.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod","sample",1,21740947,0.000379,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,127.312647,0.164704,"MB/sec",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002069,0.000478,"B/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,110.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000781,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004296,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.265088,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.012337,0.002219,"ms/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,77.822316,6.356474,"MB/sec",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6888.160000,20.544121,"B/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCDEuclides
