"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3124.371041,17.081268,"ops/ms",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,143.020244,0.781885,"MB/sec",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000221,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,59.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000316,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,144.988518,0.239041,"MB/sec",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000218,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,59.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,109.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod","sample",1,23805510,0.000347,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,139.414062,0.219646,"MB/sec",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001834,0.000416,"B/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,127.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000320,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000341,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000571,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004028,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3.117056,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.014244,0.002682,"ms/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,70.126327,7.421448,"MB/sec",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6881.520000,3.672608,"B/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCM
