"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2865.722005,7.504651,"ops/ms",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,131.180260,0.343518,"MB/sec",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000241,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,97.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000351,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,130.436296,0.286200,"MB/sec",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000242,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,97.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod","sample",1,21974815,0.000374,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,128.685568,0.217712,"MB/sec",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002017,0.000431,"B/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,108.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000380,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000752,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004272,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,6.561792,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016501,0.002002,"ms/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,74.740369,4.955539,"MB/sec",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6885.040000,15.058049,"B/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MaximoArray
