"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2774.657991,3.578466,"ops/ms",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,127.011994,0.163834,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000249,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,94.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000359,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,127.344531,0.288775,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000248,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod","sample",1,20906657,0.000388,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,122.426919,0.285767,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002173,0.000466,"B/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000471,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000902,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004384,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.756608,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.010975,0.001768,"ms/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,77.662987,5.661870,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6887.360000,19.674028,"B/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaGeometrica
