"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2570.537210,11.425161,"ops/ms",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,117.668426,0.522987,"MB/sec",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000269,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,48.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,89.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000387,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,118.387675,0.223135,"MB/sec",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000267,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,48.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,103.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod","sample",1,38910236,0.000420,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,113.961364,0.191496,"MB/sec",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002337,0.000474,"B/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,46.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,97.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000390,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000420,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000571,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.003836,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.830336,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016416,0.002973,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,68.061772,7.372812,"MB/sec",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.640000,2.170578,"B/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
