"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2776.791051,10.090241,"ops/ms",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,127.109836,0.461857,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000249,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,95.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000377,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,121.284493,0.546841,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000261,0.000002,"B/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,91.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod","sample",1,21510882,0.000385,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,125.966057,0.450864,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002186,0.000502,"B/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000461,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000802,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004296,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.033664,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.021005,0.003136,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,64.312622,7.007625,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6881.280000,3.054119,"B/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroParImpar
