"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2969.604018,7.586528,"ops/ms",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,135.935558,0.347279,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000233,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,115.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000347,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,132.014552,0.212158,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000239,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,100.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod","sample",1,21766932,0.000376,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,127.468117,0.261879,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002033,0.000471,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000761,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004152,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,6.381568,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.013668,0.002764,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,74.172932,7.439965,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.080000,18.555372,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPrimo
