"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2913.884654,7.455930,"ops/ms",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,133.385416,0.341292,"MB/sec",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000237,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000351,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,130.510009,0.776780,"MB/sec",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000242,0.000002,"B/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod","sample",1,21749858,0.000380,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,127.367249,0.246515,"MB/sec",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002075,0.000495,"B/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,114.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000441,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000771,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004288,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3.104768,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.017086,0.003189,"ms/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,72.585699,7.594734,"MB/sec",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.640000,2.170578,"B/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.OrdenarArray
