"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3054.340110,10.159031,"ops/ms",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,139.814113,0.465069,"MB/sec",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000226,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,122.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000333,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,137.489262,0.192157,"MB/sec",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000230,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,98.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod","sample",1,22069429,0.000374,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,129.239218,0.455508,"MB/sec",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002045,0.000454,"B/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,111.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000741,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004248,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.564096,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.015578,0.003004,"ms/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,68.236666,7.499953,"MB/sec",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.080000,18.555372,"B/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Percentil
