"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2674.082382,6.883842,"ops/ms",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,122.407973,0.315130,"MB/sec",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000258,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,93.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000376,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,121.688376,0.534738,"MB/sec",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000260,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,91.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod","sample",1,29289278,0.000408,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,116.339409,0.593610,"MB/sec",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002296,0.000514,"B/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,47.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,108.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000612,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004136,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.756608,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.012746,0.002752,"ms/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,74.676728,7.360035,"MB/sec",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.080000,18.555372,"B/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
