"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2748.568726,3.113944,"ops/ms",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,125.817568,0.142559,"MB/sec",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000251,0.000000,"B/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,95.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000373,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,122.879493,0.434865,"MB/sec",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000257,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,94.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod","sample",1,20295377,0.000406,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,118.843144,0.162618,"MB/sec",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002273,0.000447,"B/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,48.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,122.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000962,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004424,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.760704,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.019924,0.002856,"ms/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,67.573241,7.658589,"MB/sec",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.640000,2.170578,"B/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PromedioNumeros
