"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2677.179050,6.389990,"ops/ms",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,122.549960,0.292551,"MB/sec",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000258,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,97.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000361,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,126.708381,0.597870,"MB/sec",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000250,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,91.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod","sample",1,20752220,0.000404,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,121.522539,0.227874,"MB/sec",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002238,0.000472,"B/op",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000932,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004376,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.809856,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.013918,0.002619,"ms/op",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,70.295812,6.804577,"MB/sec",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.640000,2.170578,"B/op",Code.Java.Abacus.v1.Refactored.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RangoEstadistico
