"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2910.517076,22.069343,"ops/ms",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,133.231064,1.010249,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000237,0.000002,"B/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,101.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000358,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,127.900164,0.149818,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000247,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,93.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod","sample",1,21966211,0.000373,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,128.629280,0.186213,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002079,0.000453,"B/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,113.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000380,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000802,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004352,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.449408,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.018280,0.002322,"ms/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,71.639702,6.415779,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.640000,7.100975,"B/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaDigitos
