"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2908.191556,5.715730,"ops/ms",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,133.124328,0.261628,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000238,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,98.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000346,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,132.178496,0.484924,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000239,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,94.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod","sample",1,21882460,0.000378,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,128.146310,0.287190,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002092,0.000470,"B/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,112.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000772,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004328,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3.207168,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.021941,0.003419,"ms/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,60.636742,6.250379,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6887.520000,23.412617,"B/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaMatrices
