"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2886.825696,10.891796,"ops/ms",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,132.146551,0.498570,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000239,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000343,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,133.504878,0.255699,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000237,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,96.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod","sample",1,22119087,0.000380,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,129.528661,0.212829,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002065,0.000471,"B/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,117.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000380,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000390,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000772,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004336,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,0.097792,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.013496,0.002559,"ms/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,68.543134,6.678235,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.720000,9.224958,"B/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaNumeros
