"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.dci.MyBenchmark.printString","thrpt",1,15,0.000086,0.000070,"ops/ns"
"com.dci.MyBenchmark.printString:gc.alloc.rate","thrpt",1,15,35.833900,18.133798,"MB/sec"
"com.dci.MyBenchmark.printString:gc.alloc.rate.norm","thrpt",1,15,3719.031624,2979.749663,"B/op"
"com.dci.MyBenchmark.printString:gc.count","thrpt",1,15,0.000000,NaN,"counts"
"com.dci.MyBenchmark.printString","avgt",1,15,25762.975452,37696.799638,"ns/op"
"com.dci.MyBenchmark.printString:gc.alloc.rate","avgt",1,15,30.609420,13.795701,"MB/sec"
"com.dci.MyBenchmark.printString:gc.alloc.rate.norm","avgt",1,15,3314.996206,2745.772519,"B/op"
"com.dci.MyBenchmark.printString:gc.count","avgt",1,15,0.000000,NaN,"counts"
"com.dci.MyBenchmark.printString","sample",1,24,25299.833333,23431.826037,"ns/op"
"com.dci.MyBenchmark.printString:gc.alloc.rate","sample",1,15,71.755391,25.196567,"MB/sec"
"com.dci.MyBenchmark.printString:gc.alloc.rate.norm","sample",1,15,32593.992727,9472.018480,"B/op"
"com.dci.MyBenchmark.printString:gc.count","sample",1,15,0.000000,NaN,"counts"
"com.dci.MyBenchmark.printString:p0.00","sample",1,1,3692.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString:p0.50","sample",1,1,14728.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString:p0.90","sample",1,1,81792.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString:p0.95","sample",1,1,105024.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString:p0.99","sample",1,1,111872.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString:p0.999","sample",1,1,111872.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString:p0.9999","sample",1,1,111872.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString:p1.00","sample",1,1,111872.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString","ss",1,15,202667.400000,140451.091264,"ns/op"
"com.dci.MyBenchmark.printString:gc.alloc.rate","ss",1,15,19.550662,7.892748,"MB/sec"
"com.dci.MyBenchmark.printString:gc.alloc.rate.norm","ss",1,15,6992.000000,0.000000,"B/op"
"com.dci.MyBenchmark.printString:gc.count","ss",1,15,0.000000,NaN,"counts"
