"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.dci.MyBenchmark.printString","thrpt",1,3,0.000069,0.000929,"ops/ns"
"com.dci.MyBenchmark.printString:gc.alloc.rate","thrpt",1,3,34.328309,68.823368,"MB/sec"
"com.dci.MyBenchmark.printString:gc.alloc.rate.norm","thrpt",1,3,4361.333333,43597.983079,"B/op"
"com.dci.MyBenchmark.printString:gc.count","thrpt",1,3,0.000000,NaN,"counts"
"com.dci.MyBenchmark.printString","avgt",1,3,4165.280424,4387.744295,"ns/op"
"com.dci.MyBenchmark.printString:gc.alloc.rate","avgt",1,3,33.352116,54.675831,"MB/sec"
"com.dci.MyBenchmark.printString:gc.alloc.rate.norm","avgt",1,3,449.205704,8907.683899,"B/op"
"com.dci.MyBenchmark.printString:gc.count","avgt",1,3,0.000000,NaN,"counts"
"com.dci.MyBenchmark.printString","sample",1,3,39306.666667,722586.818757,"ns/op"
"com.dci.MyBenchmark.printString:gc.alloc.rate","sample",1,3,60.915598,353.876369,"MB/sec"
"com.dci.MyBenchmark.printString:gc.alloc.rate.norm","sample",1,3,36200.000000,0.000000,"B/op"
"com.dci.MyBenchmark.printString:gc.count","sample",1,3,0.000000,NaN,"counts"
"com.dci.MyBenchmark.printString:p0.00","sample",1,1,14624.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString:p0.50","sample",1,1,18304.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString:p0.90","sample",1,1,84992.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString:p0.95","sample",1,1,84992.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString:p0.99","sample",1,1,84992.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString:p0.999","sample",1,1,84992.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString:p0.9999","sample",1,1,84992.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString:p1.00","sample",1,1,84992.000000,NaN,"ns/op"
"com.dci.MyBenchmark.printString","ss",1,3,166493.666667,303149.015767,"ns/op"
"com.dci.MyBenchmark.printString:gc.alloc.rate","ss",1,3,18.737012,134.055877,"MB/sec"
"com.dci.MyBenchmark.printString:gc.alloc.rate.norm","ss",1,3,6992.000000,0.000000,"B/op"
"com.dci.MyBenchmark.printString:gc.count","ss",1,3,0.000000,NaN,"counts"
