"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: N"
"com.dci.min.v1.ControlFlows.exec","thrpt",1,5,0.691270,0.029880,"ops/ns",0
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate","thrpt",1,5,0.006554,0.000065,"MB/sec",0
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate.norm","thrpt",1,5,0.000010,0.000000,"B/op",0
"com.dci.min.v1.ControlFlows.exec:gc.count","thrpt",1,5,0.000000,NaN,"counts",0
"com.dci.min.v1.ControlFlows.exec","thrpt",1,5,0.221408,0.006602,"ops/ns",1
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate","thrpt",1,5,0.006542,0.000053,"MB/sec",1
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate.norm","thrpt",1,5,0.000031,0.000001,"B/op",1
"com.dci.min.v1.ControlFlows.exec:gc.count","thrpt",1,5,0.000000,NaN,"counts",1
"com.dci.min.v1.ControlFlows.exec","thrpt",1,5,0.100078,0.001825,"ops/ns",3
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate","thrpt",1,5,0.006554,0.000065,"MB/sec",3
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate.norm","thrpt",1,5,0.000069,0.000001,"B/op",3
"com.dci.min.v1.ControlFlows.exec:gc.count","thrpt",1,5,0.000000,NaN,"counts",3
"com.dci.min.v1.ControlFlows.exec","thrpt",1,5,0.079573,0.003549,"ops/ns",5
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate","thrpt",1,5,0.006548,0.000064,"MB/sec",5
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate.norm","thrpt",1,5,0.000086,0.000004,"B/op",5
"com.dci.min.v1.ControlFlows.exec:gc.count","thrpt",1,5,0.000000,NaN,"counts",5
"com.dci.min.v1.ControlFlows.exec","thrpt",1,5,0.055056,0.002358,"ops/ns",10
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate","thrpt",1,5,0.006554,0.000064,"MB/sec",10
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate.norm","thrpt",1,5,0.000125,0.000004,"B/op",10
"com.dci.min.v1.ControlFlows.exec:gc.count","thrpt",1,5,0.000000,NaN,"counts",10
"com.dci.min.v2.ControlFlows.exec","thrpt",1,5,0.000397,0.000911,"ops/ns",0
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","thrpt",1,5,737.862215,1259.820701,"MB/sec",0
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","thrpt",1,5,4678.185670,24864.546788,"B/op",0
"com.dci.min.v2.ControlFlows.exec:gc.count","thrpt",1,5,40.000000,NaN,"counts",0
"com.dci.min.v2.ControlFlows.exec:gc.time","thrpt",1,5,4051.000000,NaN,"ms",0
"com.dci.min.v2.ControlFlows.exec","thrpt",1,5,0.000747,0.000348,"ops/ns",1
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","thrpt",1,5,759.059663,368.905542,"MB/sec",1
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","thrpt",1,5,1598.224765,3684.142336,"B/op",1
"com.dci.min.v2.ControlFlows.exec:gc.count","thrpt",1,5,48.000000,NaN,"counts",1
"com.dci.min.v2.ControlFlows.exec:gc.time","thrpt",1,5,1291.000000,NaN,"ms",1
"com.dci.min.v2.ControlFlows.exec","thrpt",1,5,0.000454,0.000609,"ops/ns",2
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","thrpt",1,5,781.748567,788.802408,"MB/sec",2
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","thrpt",1,5,2672.312485,7948.923841,"B/op",2
"com.dci.min.v2.ControlFlows.exec:gc.count","thrpt",1,5,29.000000,NaN,"counts",2
"com.dci.min.v2.ControlFlows.exec:gc.time","thrpt",1,5,2710.000000,NaN,"ms",2
"com.dci.min.v2.ControlFlows.exec","thrpt",1,5,0.000691,0.001099,"ops/ns",3
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","thrpt",1,5,810.217647,843.435228,"MB/sec",3
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","thrpt",1,5,2126.855301,8278.813821,"B/op",3
"com.dci.min.v2.ControlFlows.exec:gc.count","thrpt",1,5,26.000000,NaN,"counts",3
"com.dci.min.v2.ControlFlows.exec:gc.time","thrpt",1,5,2721.000000,NaN,"ms",3
"com.dci.min.v2.ControlFlows.exec","thrpt",1,5,0.000446,0.000667,"ops/ns",4
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","thrpt",1,5,806.268384,814.154962,"MB/sec",4
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","thrpt",1,5,3013.787689,10505.606872,"B/op",4
"com.dci.min.v2.ControlFlows.exec:gc.count","thrpt",1,5,26.000000,NaN,"counts",4
"com.dci.min.v2.ControlFlows.exec:gc.time","thrpt",1,5,2678.000000,NaN,"ms",4
"com.dci.min.v2.ControlFlows.exec","thrpt",1,5,0.000632,0.001218,"ops/ns",5
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","thrpt",1,5,752.724712,907.479134,"MB/sec",5
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","thrpt",1,5,3334.037316,18684.238751,"B/op",5
"com.dci.min.v2.ControlFlows.exec:gc.count","thrpt",1,5,27.000000,NaN,"counts",5
"com.dci.min.v2.ControlFlows.exec:gc.time","thrpt",1,5,3110.000000,NaN,"ms",5
"com.dci.min.v2.ControlFlows.exec","thrpt",1,5,0.000452,0.000683,"ops/ns",6
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","thrpt",1,5,805.086125,892.975773,"MB/sec",6
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","thrpt",1,5,2900.937559,9523.509296,"B/op",6
"com.dci.min.v2.ControlFlows.exec:gc.count","thrpt",1,5,27.000000,NaN,"counts",6
"com.dci.min.v2.ControlFlows.exec:gc.time","thrpt",1,5,3047.000000,NaN,"ms",6
"com.dci.min.v2.ControlFlows.exec","thrpt",1,5,0.000678,0.001105,"ops/ns",7
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","thrpt",1,5,789.814640,903.407871,"MB/sec",7
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","thrpt",1,5,2293.587702,9709.414832,"B/op",7
"com.dci.min.v2.ControlFlows.exec:gc.count","thrpt",1,5,27.000000,NaN,"counts",7
"com.dci.min.v2.ControlFlows.exec:gc.time","thrpt",1,5,2628.000000,NaN,"ms",7
"com.dci.min.v2.ControlFlows.exec","thrpt",1,5,0.000457,0.000787,"ops/ns",8
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","thrpt",1,5,801.807233,1165.696347,"MB/sec",8
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","thrpt",1,5,3736.663202,16693.197236,"B/op",8
"com.dci.min.v2.ControlFlows.exec:gc.count","thrpt",1,5,29.000000,NaN,"counts",8
"com.dci.min.v2.ControlFlows.exec:gc.time","thrpt",1,5,2619.000000,NaN,"ms",8
"com.dci.min.v2.ControlFlows.exec","thrpt",1,5,0.000686,0.001192,"ops/ns",9
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","thrpt",1,5,788.377592,1098.239614,"MB/sec",9
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","thrpt",1,5,2660.595573,12887.478265,"B/op",9
"com.dci.min.v2.ControlFlows.exec:gc.count","thrpt",1,5,28.000000,NaN,"counts",9
"com.dci.min.v2.ControlFlows.exec:gc.time","thrpt",1,5,2601.000000,NaN,"ms",9
"com.dci.min.v1.ControlFlows.exec","avgt",1,5,1.463966,0.057536,"ns/op",0
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate","avgt",1,5,0.006566,0.000001,"MB/sec",0
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate.norm","avgt",1,5,0.000010,0.000000,"B/op",0
"com.dci.min.v1.ControlFlows.exec:gc.count","avgt",1,5,0.000000,NaN,"counts",0
"com.dci.min.v1.ControlFlows.exec","avgt",1,5,5.282261,2.502604,"ns/op",1
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate","avgt",1,5,0.006558,0.000050,"MB/sec",1
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate.norm","avgt",1,5,0.000036,0.000017,"B/op",1
"com.dci.min.v1.ControlFlows.exec:gc.count","avgt",1,5,0.000000,NaN,"counts",1
"com.dci.min.v1.ControlFlows.exec","avgt",1,5,11.257316,1.224937,"ns/op",3
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate","avgt",1,5,0.006554,0.000064,"MB/sec",3
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate.norm","avgt",1,5,0.000077,0.000009,"B/op",3
"com.dci.min.v1.ControlFlows.exec:gc.count","avgt",1,5,0.000000,NaN,"counts",3
"com.dci.min.v1.ControlFlows.exec","avgt",1,5,14.263013,4.752181,"ns/op",5
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate","avgt",1,5,0.006560,0.000052,"MB/sec",5
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate.norm","avgt",1,5,0.000098,0.000033,"B/op",5
"com.dci.min.v1.ControlFlows.exec:gc.count","avgt",1,5,0.000000,NaN,"counts",5
"com.dci.min.v1.ControlFlows.exec","avgt",1,5,18.894472,1.349772,"ns/op",10
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate","avgt",1,5,0.006542,0.000099,"MB/sec",10
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate.norm","avgt",1,5,0.000130,0.000010,"B/op",10
"com.dci.min.v1.ControlFlows.exec:gc.count","avgt",1,5,0.000000,NaN,"counts",10
"com.dci.min.v2.ControlFlows.exec","avgt",1,5,2053.165779,704.732469,"ns/op",0
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","avgt",1,5,698.757350,1220.875636,"MB/sec",0
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","avgt",1,5,2531.148614,6084.912494,"B/op",0
"com.dci.min.v2.ControlFlows.exec:gc.count","avgt",1,5,34.000000,NaN,"counts",0
"com.dci.min.v2.ControlFlows.exec:gc.time","avgt",1,5,1206.000000,NaN,"ms",0
"com.dci.min.v2.ControlFlows.exec","avgt",1,5,1901.811234,5515.302726,"ns/op",1
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","avgt",1,5,733.084998,1337.654817,"MB/sec",1
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","avgt",1,5,1943.531917,6703.067359,"B/op",1
"com.dci.min.v2.ControlFlows.exec:gc.count","avgt",1,5,29.000000,NaN,"counts",1
"com.dci.min.v2.ControlFlows.exec:gc.time","avgt",1,5,2670.000000,NaN,"ms",1
"com.dci.min.v2.ControlFlows.exec","avgt",1,5,3366.000787,13674.284659,"ns/op",2
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","avgt",1,5,790.920669,1480.487689,"MB/sec",2
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","avgt",1,5,3774.813023,17054.702592,"B/op",2
"com.dci.min.v2.ControlFlows.exec:gc.count","avgt",1,5,28.000000,NaN,"counts",2
"com.dci.min.v2.ControlFlows.exec:gc.time","avgt",1,5,2569.000000,NaN,"ms",2
"com.dci.min.v2.ControlFlows.exec","avgt",1,5,2827.593769,13785.931269,"ns/op",3
