Clase,ParamN,Etiqueta,TiempoNanos,FechaHora,DuracionNanos,DuracionNanosTime
ControlFlows_jmhType,4,IF-S:,27233136441564,2026-07-03 00:01:21.661.81661.661535596,4137946,4067384
ControlFlows_jmhType,4,IF-I:,27233136693153,2026-07-03 00:01:21.661.81661.661786686,251589,251090
ControlFlows_jmhType,4,IF-F:,27233136740422,2026-07-03 00:01:21.661.81661.661833880,47269,47194
ControlFlows_jmhType,4,IF-S:,27233146613984,2026-07-03 00:01:21.671.81671.671708476,9873562,9874596
ControlFlows_jmhType,4,IF-I:,27233146718327,2026-07-03 00:01:21.671.81671.671811970,104343,103494
ControlFlows_jmhType,4,IF-F:,27233146790366,2026-07-03 00:01:21.671.81671.671883813,72039,71843
ControlFlows_jmhType,4,IF-S:,27233147613934,2026-07-03 00:01:21.672.81672.672707869,823568,824056
ControlFlows_jmhType,4,IF-I:,27233147661963,2026-07-03 00:01:21.672.81672.672755402,48029,47533
ControlFlows_jmhType,4,IF-F:,27233147694376,2026-07-03 00:01:21.672.81672.672787843,32413,32441
ControlFlows_jmhType,4,IF-S:,27233148579031,2026-07-03 00:01:21.673.81673.673673287,884655,885444
ControlFlows_jmhType,4,IF-I:,27233148648280,2026-07-03 00:01:21.673.81673.673741943,69249,68656
ControlFlows_jmhType,4,IF-F:,27233148700424,2026-07-03 00:01:21.673.81673.673793882,52144,51939
ControlFlows_jmhType,4,IF-S:,27233150293756,2026-07-03 00:01:21.675.81675.675388121,1593332,1594239
ControlFlows_jmhType,4,IF-I:,27233150355884,2026-07-03 00:01:21.675.81675.675449314,62128,61193
ControlFlows_jmhType,4,IF-F:,27233150388273,2026-07-03 00:01:21.675.81675.675481686,32389,32372
ControlFlows_jmhType,4,IF-S:,27233151202061,2026-07-03 00:01:21.676.81676.676296238,813788,814552
ControlFlows_jmhType,4,IF-I:,27233151277654,2026-07-03 00:01:21.676.81676.676371629,75593,75391
ControlFlows_jmhType,4,IF-F:,27233151329888,2026-07-03 00:01:21.676.81676.676423400,52234,51771
ControlFlows_jmhType,4,IF-S:,27233152100731,2026-07-03 00:01:21.677.81677.677194742,770843,771342
ControlFlows_jmhType,4,IF-I:,27233152159842,2026-07-03 00:01:21.677.81677.677253470,59111,58728
ControlFlows_jmhType,4,IF-F:,27233152215434,2026-07-03 00:01:21.677.81677.677308994,55592,55524
ControlFlows_jmhType,4,IF-S:,27233152881402,2026-07-03 00:01:21.677.81677.677975256,665968,666262
ControlFlows_jmhType,4,IF-I:,27233152961454,2026-07-03 00:01:21.678.81678.678054908,80052,79652
ControlFlows_jmhType,4,IF-F:,27233153047103,2026-07-03 00:01:21.678.81678.678140621,85649,85713
