class_name,run_number,execution_time_ms,heap_used_before_mb,heap_used_after_mb,heap_max_mb,gc_count_before,gc_count_after,gc_time_ms_before,gc_time_ms_after,cpu_load_percent,threads_live,exit_code,timestamp
AreaCuadrado,1,31,0.00,4.91,7876.00,0,0,0,0,16.67,10,0,2026-04-21T19:57:13Z
AreaCuadrado,2,26,0.00,4.91,7876.00,0,0,0,0,26.67,10,0,2026-04-21T19:57:13Z
AreaCuadrado,3,25,0.00,4.91,7876.00,0,0,0,0,31.25,10,0,2026-04-21T19:57:13Z
AreaCuadrado,4,27,0.00,4.91,7876.00,0,0,0,0,25.00,10,0,2026-04-21T19:57:13Z
AreaCuadrado,5,26,0.00,4.91,7876.00,0,0,0,0,26.67,10,0,2026-04-21T19:57:13Z
AreaCuadrado,6,27,0.00,4.91,7876.00,0,0,0,0,26.67,10,0,2026-04-21T19:57:13Z
AreaCuadrado,7,26,0.00,4.91,7876.00,0,0,0,0,31.25,10,0,2026-04-21T19:57:14Z
AreaCuadrado,8,26,0.00,4.91,7876.00,0,0,0,0,23.53,10,0,2026-04-21T19:57:14Z
AreaCuadrado,9,27,0.00,4.91,7876.00,0,0,0,0,17.65,10,0,2026-04-21T19:57:14Z
AreaCuadrado,10,26,0.00,4.91,7876.00,0,0,0,0,31.25,10,0,2026-04-21T19:57:14Z
AreaCuadrado,11,25,0.00,4.91,7876.00,0,0,0,0,25.00,10,0,2026-04-21T19:57:14Z
AreaCuadrado,12,26,0.00,4.91,7876.00,0,0,0,0,26.67,10,0,2026-04-21T19:57:14Z
AreaCuadrado,13,24,0.00,4.91,7876.00,0,0,0,0,26.67,10,0,2026-04-21T19:57:14Z
AreaCuadrado,14,26,0.00,4.91,7876.00,0,0,0,0,31.25,10,0,2026-04-21T19:57:14Z
AreaCuadrado,15,25,0.00,4.91,7876.00,0,0,0,0,26.67,10,0,2026-04-21T19:57:15Z
AreaCuadrado,16,24,0.00,4.91,7876.00,0,0,0,0,26.67,10,0,2026-04-21T19:57:15Z
AreaCuadrado,17,24,0.00,4.91,7876.00,0,0,0,0,26.67,10,0,2026-04-21T19:57:15Z
AreaCuadrado,18,26,0.00,4.91,7876.00,0,0,0,0,29.41,10,0,2026-04-21T19:57:15Z
AreaCuadrado,19,29,0.00,4.91,7876.00,0,0,0,0,23.53,10,0,2026-04-21T19:57:15Z
AreaCuadrado,20,24,0.00,4.91,7876.00,0,0,0,0,21.43,10,0,2026-04-21T19:57:15Z
AreaCuadrado,21,24,0.00,4.91,7876.00,0,0,0,0,21.43,10,0,2026-04-21T19:57:15Z
AreaCuadrado,22,24,0.00,4.91,7876.00,0,0,0,0,18.75,10,0,2026-04-21T19:57:15Z
AreaCuadrado,23,25,0.00,4.91,7876.00,0,0,0,0,28.57,10,0,2026-04-21T19:57:15Z
AreaCuadrado,24,27,0.00,4.91,7876.00,0,0,0,0,25.00,10,0,2026-04-21T19:57:16Z
AreaCuadrado,25,25,0.00,4.91,7876.00,0,0,0,0,26.67,10,0,2026-04-21T19:57:16Z
