class_name,runs,avg_time_ms,median_time_ms,min_time_ms,max_time_ms,stddev_ms,avg_heap_delta_mb,avg_gc_cycles,success_rate_pct
2 3 5 7 11 13 17 19 23 29 31 37 41 43 47 NumerosPrimos,100,8.70,11.00,8.00,12.00,0.78,4.90,0.00,100.0
AreaCuadrado,100,8.36,9.00,7.00,18.00,1.09,4.90,0.00,100.0
AreaEsfera,100,8.30,8.00,7.00,10.00,0.52,4.90,0.00,100.0
AreaRectangulo,100,8.38,8.00,8.00,10.00,0.53,4.90,0.00,100.0
AreaTriangulo,100,8.85,8.00,7.00,36.00,2.86,4.90,0.00,100.0
Array invertido: 5 4 3 2 1 InvertirArray,100,9.02,9.00,8.00,16.00,1.18,4.90,0.00,100.0
Array multiplicado: 6 12 18 24 30 MultiplicarArray,100,9.41,9.00,8.00,23.00,2.23,4.90,0.00,100.0
Array ordenado: 1 2 5 8 9 OrdenarArray,100,8.88,8.00,8.00,11.00,0.56,4.90,0.00,100.0
BuscarElemento,100,9.53,9.00,9.00,15.00,0.81,4.90,0.00,100.0
CaidaLibre,100,8.94,10.00,7.00,22.00,1.67,4.90,0.00,100.0
CalculoDescuento,100,8.23,8.00,7.00,10.00,0.65,4.90,0.00,100.0
CalculoEdad,100,8.35,8.00,7.00,11.00,0.64,4.90,0.00,100.0
CalculoIMC,100,8.19,8.00,7.00,31.00,2.38,4.90,0.00,100.0
CalculoIVA,100,8.10,8.00,7.00,11.00,0.56,4.90,0.00,100.0
CalculoPropina,100,8.29,8.00,7.00,11.00,0.57,4.90,0.00,100.0
CalculoSalario,100,8.56,8.00,8.00,12.00,0.69,4.90,0.00,100.0
CalculoVelocidad,100,8.86,9.00,8.00,19.00,1.42,4.90,0.00,100.0
CalculosCirculo,100,8.43,8.00,7.00,22.00,2.11,4.90,0.00,100.0
CoeficienteVariacion,100,8.09,9.00,7.00,9.00,0.49,4.90,0.00,100.0
ContarImpares,100,8.09,9.00,7.00,11.00,0.62,4.90,0.00,100.0
ContarPares,100,8.23,9.00,7.00,11.00,0.65,4.90,0.00,100.0
ConversionBinario,100,9.28,9.00,8.00,12.00,0.65,4.90,0.00,100.0
ConversionCelsiusFahrenheit,100,8.02,9.00,7.00,9.00,0.43,4.90,0.00,100.0
ConversionFahrenheitCelsius,100,8.02,8.00,7.00,11.00,0.55,4.90,0.00,100.0
ConversionHexadecimal,100,9.75,9.00,8.00,23.00,2.44,4.90,0.00,100.0
ConversionKgLibras,100,7.62,8.00,7.00,9.00,0.53,4.90,0.00,100.0
ConversionKmMillas,100,7.86,8.00,7.00,11.00,0.62,4.90,0.00,100.0
ConversionMetrosPies,100,7.76,8.00,7.00,11.00,0.73,4.90,0.00,100.0
ConversionOctal,100,9.27,10.00,8.00,11.00,0.66,4.90,0.00,100.0
Cuartiles,100,8.93,8.00,8.00,11.00,0.57,4.90,0.00,100.0
Densidad,100,8.82,8.00,8.00,12.00,0.70,4.90,0.00,100.0
DesviacionEstandar,100,8.61,9.00,8.00,11.00,0.68,4.90,0.00,100.0
Diagonal principal: 1 5 9 DiagonalMatriz,100,9.79,9.00,8.00,63.00,5.68,4.90,0.00,100.0
DiasAAnios,100,10.70,11.00,9.00,25.00,1.79,4.90,0.00,100.0
DistanciaEuclidiana,100,7.98,8.00,7.00,9.00,0.47,4.90,0.00,100.0
DivisionNumeros,100,9.05,9.00,8.00,12.00,0.48,4.90,0.00,100.0
EnergiaKinetica,100,8.10,8.00,7.00,10.00,0.44,4.90,0.00,100.0
EnergiaPotencial,100,8.10,8.00,7.00,9.00,0.46,4.90,0.00,100.0
FactorialNumero,100,9.94,10.00,9.00,12.00,0.72,4.90,0.00,100.0
Fuerza,100,8.61,9.00,8.00,12.00,0.68,4.90,0.00,100.0
FuncionCoseno,100,8.12,8.00,7.00,10.00,0.57,4.90,0.00,100.0
