class_name,runs,avg_time_ms,median_time_ms,min_time_ms,max_time_ms,stddev_ms,avg_heap_delta_mb,avg_gc_cycles,success_rate_pct
2 3 5 7 11 13 17 19 23 29 31 37 41 43 47 NumerosPrimos,1000,24.18,27.00,21.00,31.00,1.11,4.91,0.00,100.0
AreaCuadrado,1000,26.27,26.00,23.00,38.00,1.62,4.91,0.00,100.0
AreaEsfera,1000,26.42,27.00,23.00,37.00,1.50,4.91,0.00,100.0
AreaRectangulo,1000,23.15,22.00,20.00,31.00,1.30,4.91,0.00,100.0
AreaTriangulo,1000,23.20,24.00,20.00,32.00,1.28,4.91,0.00,100.0
BuscarElemento,1000,25.16,25.00,22.00,36.00,1.36,4.91,0.00,100.0
CaidaLibre,1000,23.71,22.00,20.00,34.00,1.32,4.91,0.00,100.0
CalculoDescuento,1000,23.41,23.00,21.00,36.00,1.38,4.91,0.00,100.0
CalculoEdad,1000,26.76,27.00,23.00,42.00,1.66,4.91,0.00,100.0
CalculoIMC,1000,23.33,23.00,20.00,32.00,1.24,4.91,0.00,100.0
CalculoIVA,1000,27.06,27.00,24.00,41.00,1.56,4.91,0.00,100.0
CalculoPropina,1000,23.34,24.00,20.00,37.00,1.36,4.91,0.00,100.0
CalculoSalario,1000,26.86,26.00,24.00,42.00,1.63,4.91,0.00,100.0
CalculosCirculo,1000,23.55,23.00,20.00,33.00,1.35,4.91,0.00,100.0
CalculoVelocidad,1000,23.65,22.00,21.00,37.00,1.37,4.91,0.00,100.0
CoeficienteVariacion,1000,26.89,26.00,24.00,38.00,1.60,4.91,0.00,100.0
ContarImpares,1000,23.51,23.00,20.00,37.00,1.42,4.91,0.00,100.0
ContarPares,1000,23.55,24.00,21.00,34.00,1.41,4.91,0.00,100.0
ConversionBinario,1000,26.43,26.00,23.00,36.00,1.42,4.91,0.00,100.0
ConversionCelsiusFahrenheit,1000,22.05,22.00,20.00,32.00,1.21,4.91,0.00,100.0
ConversionFahrenheitCelsius,1000,22.07,23.00,20.00,29.00,1.20,4.91,0.00,100.0
