file,class,method,variable,usage
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/ConversionBinario.java,Code.Java.Abacus.v1.Rare.ConversionBinario,main/1[java.lang.String[]],args,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/ConversionBinario.java,Code.Java.Abacus.v1.Rare.ConversionBinario,main/1[java.lang.String[]],numero,2
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/ConversionBinario.java,Code.Java.Abacus.v1.Rare.ConversionBinario,main/1[java.lang.String[]],binario,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/Fuerza.java,Code.Java.Abacus.v1.Rare.Fuerza,main/1[java.lang.String[]],args,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/Fuerza.java,Code.Java.Abacus.v1.Rare.Fuerza,main/1[java.lang.String[]],aceleracion,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/Fuerza.java,Code.Java.Abacus.v1.Rare.Fuerza,main/1[java.lang.String[]],masa,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/Fuerza.java,Code.Java.Abacus.v1.Rare.Fuerza,main/1[java.lang.String[]],fuerza,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/VolumenCubo.java,Code.Java.Abacus.v1.Rare.VolumenCubo,main/1[java.lang.String[]],args,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/VolumenCubo.java,Code.Java.Abacus.v1.Rare.VolumenCubo,main/1[java.lang.String[]],lado,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/VolumenCubo.java,Code.Java.Abacus.v1.Rare.VolumenCubo,main/1[java.lang.String[]],volumen,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/CalculoPropina.java,Code.Java.Abacus.v1.Rare.CalculoPropina,main/1[java.lang.String[]],args,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/CalculoPropina.java,Code.Java.Abacus.v1.Rare.CalculoPropina,main/1[java.lang.String[]],total,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/CalculoPropina.java,Code.Java.Abacus.v1.Rare.CalculoPropina,main/1[java.lang.String[]],porcentajePropina,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/CalculoPropina.java,Code.Java.Abacus.v1.Rare.CalculoPropina,main/1[java.lang.String[]],cuenta,2
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/CalculoPropina.java,Code.Java.Abacus.v1.Rare.CalculoPropina,main/1[java.lang.String[]],propina,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/VelocidadFinal.java,Code.Java.Abacus.v1.Rare.VelocidadFinal,main/1[java.lang.String[]],args,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/VelocidadFinal.java,Code.Java.Abacus.v1.Rare.VelocidadFinal,main/1[java.lang.String[]],aceleracion,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/VelocidadFinal.java,Code.Java.Abacus.v1.Rare.VelocidadFinal,main/1[java.lang.String[]],velocidadInicial,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/VelocidadFinal.java,Code.Java.Abacus.v1.Rare.VelocidadFinal,main/1[java.lang.String[]],tiempo,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/VelocidadFinal.java,Code.Java.Abacus.v1.Rare.VelocidadFinal,main/1[java.lang.String[]],velocidadFinal,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/NumeroMenor.java,Code.Java.Abacus.v1.Rare.NumeroMenor,main/1[java.lang.String[]],args,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/NumeroMenor.java,Code.Java.Abacus.v1.Rare.NumeroMenor,main/1[java.lang.String[]],a,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/NumeroMenor.java,Code.Java.Abacus.v1.Rare.NumeroMenor,main/1[java.lang.String[]],b,2
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/NumeroMenor.java,Code.Java.Abacus.v1.Rare.NumeroMenor,main/1[java.lang.String[]],c,2
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/NumeroMenor.java,Code.Java.Abacus.v1.Rare.NumeroMenor,main/1[java.lang.String[]],menor,5
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/Mediana.java,Code.Java.Abacus.v1.Rare.Mediana,main/1[java.lang.String[]],args,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/Mediana.java,Code.Java.Abacus.v1.Rare.Mediana,main/1[java.lang.String[]],datos,8
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/Mediana.java,Code.Java.Abacus.v1.Rare.Mediana,main/1[java.lang.String[]],mediana,3
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/TablasMultiplicar.java,Code.Java.Abacus.v1.Rare.TablasMultiplicar,main/1[java.lang.String[]],args,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/TablasMultiplicar.java,Code.Java.Abacus.v1.Rare.TablasMultiplicar,main/1[java.lang.String[]],numero,3
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/TablasMultiplicar.java,Code.Java.Abacus.v1.Rare.TablasMultiplicar,main/1[java.lang.String[]],i,4
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/TransponerMatriz.java,Code.Java.Abacus.v1.Rare.TransponerMatriz,main/1[java.lang.String[]],args,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/TransponerMatriz.java,Code.Java.Abacus.v1.Rare.TransponerMatriz,main/1[java.lang.String[]],transpuesta,2
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/TransponerMatriz.java,Code.Java.Abacus.v1.Rare.TransponerMatriz,main/1[java.lang.String[]],i,8
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/TransponerMatriz.java,Code.Java.Abacus.v1.Rare.TransponerMatriz,main/1[java.lang.String[]],j,8
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/TransponerMatriz.java,Code.Java.Abacus.v1.Rare.TransponerMatriz,main/1[java.lang.String[]],matriz,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/ConversionFahrenheitCelsius.java,Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius,main/1[java.lang.String[]],args,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/ConversionFahrenheitCelsius.java,Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius,main/1[java.lang.String[]],celsius,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/ConversionFahrenheitCelsius.java,Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius,main/1[java.lang.String[]],fahrenheit,2
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/Cuartiles.java,Code.Java.Abacus.v1.Rare.Cuartiles,main/1[java.lang.String[]],args,0
