file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PuntoMedio.java,Code.Java.Abacus.v1.Refactored.PuntoMedio,class,2,3,1,2,4,1,0,2,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,27,1,0,2,0,2,2,6,5,5,5,1,0,1,0,28,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/FuncionTangente.java,Code.Java.Abacus.v1.Refactored.FuncionTangente,class,1,2,1,1,2,1,0,5,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,11,1,0,0,0,0,1,1,3,0,3,0,0,0,0,19,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/EnergiaPotencial.java,Code.Java.Abacus.v1.Refactored.EnergiaPotencial,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,3,4,2,4,0,0,0,0,13,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Trabajo.java,Code.Java.Abacus.v1.Refactored.Trabajo,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,2,3,2,3,0,0,0,0,11,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Varianza.java,Code.Java.Abacus.v1.Refactored.Varianza,class,2,3,1,2,7,1,0,5,3,0.0,0.0,0.0,3,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,25,2,2,2,0,0,2,12,7,3,5,1,0,0,0,28,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/RedondeoNumero.java,Code.Java.Abacus.v1.Refactored.RedondeoNumero,class,1,2,1,1,6,1,0,12,10,0.0,0.0,0.0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,27,4,0,0,0,0,6,3,3,0,2,1,0,0,0,36,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/MediaPonderada.java,Code.Java.Abacus.v1.Refactored.MediaPonderada,class,2,3,1,2,8,1,0,3,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,26,1,1,5,0,0,4,11,8,2,6,1,0,0,0,33,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SumaPares.java,Code.Java.Abacus.v1.Refactored.SumaPares,class,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,2,4,5,1,3,1,0,0,0,15,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SegundosAHoras.java,Code.Java.Abacus.v1.Refactored.SegundosAHoras$Tiempo,innerclass,0,0,0,0,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,3,0,1,13,1,0,0,0,0,1,0,3,0,3,0,0,0,0,14,9,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DistanciaEuclidiana.java,Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana$Punto,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,10,9,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SumaNumeros.java,Code.Java.Abacus.v1.Refactored.SumaNumeros,class,1,2,1,1,2,1,0,3,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0,0,1,2,3,1,3,0,0,0,0,23,1,0
