file,class,method,variable,usage
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SegundosAHoras.java,Code.Java.Abacus.v1.Refactored.SegundosAHoras$Tiempo,"Tiempo/3[int,int,int]",horas,3
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SegundosAHoras.java,Code.Java.Abacus.v1.Refactored.SegundosAHoras$Tiempo,"Tiempo/3[int,int,int]",segundos,3
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SegundosAHoras.java,Code.Java.Abacus.v1.Refactored.SegundosAHoras$Tiempo,"Tiempo/3[int,int,int]",minutos,3
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SegundosAHoras.java,Code.Java.Abacus.v1.Refactored.SegundosAHoras$Tiempo,toString/0,horas,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SegundosAHoras.java,Code.Java.Abacus.v1.Refactored.SegundosAHoras$Tiempo,toString/0,segundos,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SegundosAHoras.java,Code.Java.Abacus.v1.Refactored.SegundosAHoras$Tiempo,toString/0,minutos,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DistanciaEuclidiana.java,Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana$Punto,"Punto/2[double,double]",x,3
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DistanciaEuclidiana.java,Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana$Punto,"Punto/2[double,double]",y,3
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DiasAAnios.java,Code.Java.Abacus.v1.Refactored.DiasAAnios$Periodo,"Periodo/2[int,int]",dias,3
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DiasAAnios.java,Code.Java.Abacus.v1.Refactored.DiasAAnios$Periodo,"Periodo/2[int,int]",anios,3
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DiasAAnios.java,Code.Java.Abacus.v1.Refactored.DiasAAnios$Periodo,toString/0,dias,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DiasAAnios.java,Code.Java.Abacus.v1.Refactored.DiasAAnios$Periodo,toString/0,anios,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PendienteRecta.java,Code.Java.Abacus.v1.Refactored.PendienteRecta$Punto,"Punto/2[double,double]",x,3
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PendienteRecta.java,Code.Java.Abacus.v1.Refactored.PendienteRecta$Punto,"Punto/2[double,double]",y,3
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PuntoMedio.java,Code.Java.Abacus.v1.Refactored.PuntoMedio$Punto,"Punto/2[double,double]",x,3
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PuntoMedio.java,Code.Java.Abacus.v1.Refactored.PuntoMedio$Punto,"Punto/2[double,double]",y,3
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PuntoMedio.java,Code.Java.Abacus.v1.Refactored.PuntoMedio$Punto,toString/0,x,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PuntoMedio.java,Code.Java.Abacus.v1.Refactored.PuntoMedio$Punto,toString/0,y,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/CalculoIVA.java,Code.Java.Abacus.v1.Refactored.CalculoIVA,main/1[java.lang.String[]],IVA_MEXICO,2
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/NumeroAleatorio.java,Code.Java.Abacus.v1.Refactored.NumeroAleatorio,"generarDecimal/2[double,double]",random,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/NumeroAleatorio.java,Code.Java.Abacus.v1.Refactored.NumeroAleatorio,"generar/2[int,int]",random,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DiasAAnios.java,Code.Java.Abacus.v1.Refactored.DiasAAnios,convertir/1[int],DIAS_POR_ANIO,2
