file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PuntoMedio.java,Code.Java.Abacus.v1.Refactored.PuntoMedio,"calcular/2[Code.Java.Abacus.v1.Refactored.PuntoMedio.Punto,Code.Java.Abacus.v1.Refactored.PuntoMedio.Punto]",false,32,1,2,1,1,3,0,8,1,2,2,0,0,0,0,2,0,2,1,2,2,4,1,0,0,0,24,9,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PuntoMedio.java,Code.Java.Abacus.v1.Refactored.PuntoMedio,main/1[java.lang.String[]],false,43,2,2,0,2,1,2,6,0,3,1,2,1,1,0,0,0,0,1,4,3,1,0,0,0,0,7,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/FuncionTangente.java,Code.Java.Abacus.v1.Refactored.FuncionTangente,calcular/1[double],false,13,0,1,1,0,1,2,4,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,9,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/FuncionTangente.java,Code.Java.Abacus.v1.Refactored.FuncionTangente,main/1[java.lang.String[]],false,18,1,1,0,1,1,3,5,0,2,1,3,1,1,0,0,0,0,1,1,2,0,0,0,0,0,6,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/EnergiaPotencial.java,Code.Java.Abacus.v1.Refactored.EnergiaPotencial,main/1[java.lang.String[]],false,9,0,0,0,0,1,1,7,0,4,1,1,0,0,0,0,0,0,2,3,4,2,0,0,0,0,6,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Trabajo.java,Code.Java.Abacus.v1.Refactored.Trabajo,main/1[java.lang.String[]],false,9,0,0,0,0,1,1,6,0,3,1,1,0,0,0,0,0,0,2,2,3,2,0,0,0,0,5,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Varianza.java,Code.Java.Abacus.v1.Refactored.Varianza,calcularMedia/1[double[]],false,13,1,1,1,0,2,0,7,1,1,1,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,13,10,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Varianza.java,Code.Java.Abacus.v1.Refactored.Varianza,main/1[java.lang.String[]],false,41,2,1,0,1,1,3,5,0,2,1,3,1,2,0,0,0,0,1,8,2,0,0,0,0,0,5,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Varianza.java,Code.Java.Abacus.v1.Refactored.Varianza,calcular/1[double[]],false,26,2,2,1,1,4,2,11,1,2,1,2,1,1,1,2,0,0,1,3,3,2,1,0,0,0,23,9,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/RedondeoNumero.java,Code.Java.Abacus.v1.Refactored.RedondeoNumero,redondear/1[double],false,16,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/RedondeoNumero.java,Code.Java.Abacus.v1.Refactored.RedondeoNumero,"redondearDecimales/2[double,int]",false,26,0,1,1,0,2,3,8,1,1,2,3,0,0,0,0,0,0,1,1,2,0,1,0,0,0,21,9,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/RedondeoNumero.java,Code.Java.Abacus.v1.Refactored.RedondeoNumero,redondearArriba/1[double],false,41,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/RedondeoNumero.java,Code.Java.Abacus.v1.Refactored.RedondeoNumero,main/1[java.lang.String[]],false,54,1,4,0,4,1,6,8,0,1,1,6,4,1,0,0,0,0,5,2,1,0,0,0,0,0,3,9,0,false
