file,class,method,variable,usage
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PuntoMedio.java,Code.Java.Abacus.v1.Refactored.PuntoMedio,"calcular/2[Code.Java.Abacus.v1.Refactored.PuntoMedio.Punto,Code.Java.Abacus.v1.Refactored.PuntoMedio.Punto]",p1,3
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PuntoMedio.java,Code.Java.Abacus.v1.Refactored.PuntoMedio,"calcular/2[Code.Java.Abacus.v1.Refactored.PuntoMedio.Punto,Code.Java.Abacus.v1.Refactored.PuntoMedio.Punto]",p2,3
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PuntoMedio.java,Code.Java.Abacus.v1.Refactored.PuntoMedio,"calcular/2[Code.Java.Abacus.v1.Refactored.PuntoMedio.Punto,Code.Java.Abacus.v1.Refactored.PuntoMedio.Punto]",xMedio,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PuntoMedio.java,Code.Java.Abacus.v1.Refactored.PuntoMedio,"calcular/2[Code.Java.Abacus.v1.Refactored.PuntoMedio.Punto,Code.Java.Abacus.v1.Refactored.PuntoMedio.Punto]",yMedio,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PuntoMedio.java,Code.Java.Abacus.v1.Refactored.PuntoMedio,main/1[java.lang.String[]],args,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PuntoMedio.java,Code.Java.Abacus.v1.Refactored.PuntoMedio,main/1[java.lang.String[]],p1,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PuntoMedio.java,Code.Java.Abacus.v1.Refactored.PuntoMedio,main/1[java.lang.String[]],p2,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PuntoMedio.java,Code.Java.Abacus.v1.Refactored.PuntoMedio,main/1[java.lang.String[]],medio,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/FuncionTangente.java,Code.Java.Abacus.v1.Refactored.FuncionTangente,calcular/1[double],radianes,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/FuncionTangente.java,Code.Java.Abacus.v1.Refactored.FuncionTangente,calcular/1[double],anguloGrados,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/FuncionTangente.java,Code.Java.Abacus.v1.Refactored.FuncionTangente,main/1[java.lang.String[]],args,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/FuncionTangente.java,Code.Java.Abacus.v1.Refactored.FuncionTangente,main/1[java.lang.String[]],tangente,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/FuncionTangente.java,Code.Java.Abacus.v1.Refactored.FuncionTangente,main/1[java.lang.String[]],angulo,2
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/EnergiaPotencial.java,Code.Java.Abacus.v1.Refactored.EnergiaPotencial,main/1[java.lang.String[]],args,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/EnergiaPotencial.java,Code.Java.Abacus.v1.Refactored.EnergiaPotencial,main/1[java.lang.String[]],masa,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/EnergiaPotencial.java,Code.Java.Abacus.v1.Refactored.EnergiaPotencial,main/1[java.lang.String[]],gravedad,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/EnergiaPotencial.java,Code.Java.Abacus.v1.Refactored.EnergiaPotencial,main/1[java.lang.String[]],altura,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/EnergiaPotencial.java,Code.Java.Abacus.v1.Refactored.EnergiaPotencial,main/1[java.lang.String[]],energia,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Trabajo.java,Code.Java.Abacus.v1.Refactored.Trabajo,main/1[java.lang.String[]],args,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Trabajo.java,Code.Java.Abacus.v1.Refactored.Trabajo,main/1[java.lang.String[]],distancia,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Trabajo.java,Code.Java.Abacus.v1.Refactored.Trabajo,main/1[java.lang.String[]],trabajo,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Trabajo.java,Code.Java.Abacus.v1.Refactored.Trabajo,main/1[java.lang.String[]],fuerza,1
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Varianza.java,Code.Java.Abacus.v1.Refactored.Varianza,calcularMedia/1[double[]],suma,2
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Varianza.java,Code.Java.Abacus.v1.Refactored.Varianza,calcularMedia/1[double[]],datos,2
