clase,ejecucion,tiempo_ms,memoria_kb
PuntoMedio,1,70,57732
PuntoMedio,2,60,57344
PuntoMedio,3,70,58608
PuntoMedio,4,60,57976
PuntoMedio,5,70,57724
PuntoMedio,6,60,58488
PuntoMedio,7,70,57208
PuntoMedio,8,60,59392
PuntoMedio,9,70,58332
PuntoMedio,10,60,57848
PuntoMedio,11,70,57208
PuntoMedio,12,60,58456
PuntoMedio,13,80,57688
PuntoMedio,14,60,57592
PuntoMedio,15,70,58608
PuntoMedio,16,60,56956
PuntoMedio,17,70,58584
PuntoMedio,18,70,58080
PuntoMedio,19,70,57844
PuntoMedio,20,60,57964
PuntoMedio,21,70,57452
PuntoMedio,22,60,57176
PuntoMedio,23,70,57580
PuntoMedio,24,60,57464
PuntoMedio,25,70,58740
PuntoMedio,26,60,57464
PuntoMedio,27,60,58584
PuntoMedio,28,70,58840
PuntoMedio,29,70,57208
PuntoMedio,30,70,57560
PuntoMedio,31,60,57944
PuntoMedio,32,70,58752
PuntoMedio,33,60,57976
PuntoMedio,34,70,57464
PuntoMedio,35,60,57944
PuntoMedio,36,70,58228
PuntoMedio,37,70,58224
PuntoMedio,38,80,57976
PuntoMedio,39,60,57952
PuntoMedio,40,70,57072
PuntoMedio,41,50,57840
PuntoMedio,42,70,57840
PuntoMedio,43,60,59384
PuntoMedio,44,70,58616
PuntoMedio,45,50,57584
PuntoMedio,46,70,59256
PuntoMedio,47,60,59104
PuntoMedio,48,70,57208
PuntoMedio,49,60,58872
PuntoMedio,50,70,57720
PuntoMedio,51,60,56920
PuntoMedio,52,60,57816
PuntoMedio,53,70,57592
PuntoMedio,54,50,57716
PuntoMedio,55,70,57432
PuntoMedio,56,50,57456
PuntoMedio,57,70,58088
PuntoMedio,58,60,57848
PuntoMedio,59,70,57456
PuntoMedio,60,60,57720
PuntoMedio,61,70,57304
PuntoMedio,62,60,57692
PuntoMedio,63,80,58712
PuntoMedio,64,70,57840
PuntoMedio,65,70,57460
PuntoMedio,66,60,59000
PuntoMedio,67,70,59000
PuntoMedio,68,60,57964
PuntoMedio,69,70,57464
PuntoMedio,70,60,57716
PuntoMedio,71,70,57568
PuntoMedio,72,70,58368
PuntoMedio,73,70,57432
PuntoMedio,74,60,57708
PuntoMedio,75,80,58100
PuntoMedio,76,60,58072
PuntoMedio,77,70,57964
PuntoMedio,78,50,57976
PuntoMedio,79,70,57460
PuntoMedio,80,60,58860
PuntoMedio,81,70,57848
PuntoMedio,82,60,57976
PuntoMedio,83,70,57208
PuntoMedio,84,60,57688
PuntoMedio,85,70,57944
PuntoMedio,86,60,57988
PuntoMedio,87,70,57724
PuntoMedio,88,70,58108
PuntoMedio,89,70,57708
PuntoMedio,90,60,58872
PuntoMedio,91,70,56704
PuntoMedio,92,60,58864
PuntoMedio,93,80,57720
PuntoMedio,94,60,58872
PuntoMedio,95,70,57848
PuntoMedio,96,60,59112
PuntoMedio,97,70,57944
PuntoMedio,98,60,57836
PuntoMedio,99,70,59120
PuntoMedio,100,60,59224
NumeroArmstrong,1,80,57464
NumeroArmstrong,2,60,58584
NumeroArmstrong,3,80,57592
NumeroArmstrong,4,60,58488
NumeroArmstrong,5,70,57708
NumeroArmstrong,6,70,58104
NumeroArmstrong,7,60,58584
NumeroArmstrong,8,80,58232
NumeroArmstrong,9,70,57688
NumeroArmstrong,10,80,57336
NumeroArmstrong,11,60,57968
NumeroArmstrong,12,70,58472
NumeroArmstrong,13,50,57208
NumeroArmstrong,14,70,58616
NumeroArmstrong,15,70,58104
NumeroArmstrong,16,70,58616
NumeroArmstrong,17,60,58104
NumeroArmstrong,18,70,58616
NumeroArmstrong,19,70,57604
NumeroArmstrong,20,70,58232
NumeroArmstrong,21,60,57456
NumeroArmstrong,22,80,58360
NumeroArmstrong,23,60,57452
NumeroArmstrong,24,80,57708
NumeroArmstrong,25,60,59132
NumeroArmstrong,26,70,59000
NumeroArmstrong,27,60,57068
NumeroArmstrong,28,80,57720
NumeroArmstrong,29,60,58360
NumeroArmstrong,30,70,57832
NumeroArmstrong,31,70,58484
NumeroArmstrong,32,70,58360
NumeroArmstrong,33,70,57220
NumeroArmstrong,34,70,57724
NumeroArmstrong,35,50,57976
NumeroArmstrong,36,70,58584
NumeroArmstrong,37,60,58360
NumeroArmstrong,38,80,57816
NumeroArmstrong,39,60,57968
NumeroArmstrong,40,70,57720
NumeroArmstrong,41,70,57048
NumeroArmstrong,42,80,57560
NumeroArmstrong,43,60,58228
NumeroArmstrong,44,90,57980
NumeroArmstrong,45,60,57592
NumeroArmstrong,46,80,57976
NumeroArmstrong,47,60,57072
NumeroArmstrong,48,80,57592
NumeroArmstrong,49,60,57328
NumeroArmstrong,50,80,57720
NumeroArmstrong,51,70,57848
NumeroArmstrong,52,60,57944
NumeroArmstrong,53,80,57304
NumeroArmstrong,54,60,58712
NumeroArmstrong,55,80,57816
NumeroArmstrong,56,60,58488
NumeroArmstrong,57,80,58104
NumeroArmstrong,58,70,57452
NumeroArmstrong,59,80,57684
NumeroArmstrong,60,60,57944
NumeroArmstrong,61,70,58604
NumeroArmstrong,62,70,57336
NumeroArmstrong,63,70,57076
NumeroArmstrong,64,60,57444
NumeroArmstrong,65,70,57332
NumeroArmstrong,66,60,57324
NumeroArmstrong,67,70,57584
NumeroArmstrong,68,60,57568
NumeroArmstrong,69,60,58488
NumeroArmstrong,70,70,57304
NumeroArmstrong,71,70,57432
NumeroArmstrong,72,70,57208
NumeroArmstrong,73,60,57452
NumeroArmstrong,74,80,57464
NumeroArmstrong,75,60,58584
NumeroArmstrong,76,80,57472
NumeroArmstrong,77,60,58372
NumeroArmstrong,78,80,57208
NumeroArmstrong,79,70,58104
NumeroArmstrong,80,80,57464
NumeroArmstrong,81,60,58480
NumeroArmstrong,82,70,58732
NumeroArmstrong,83,60,57712
NumeroArmstrong,84,80,57076
NumeroArmstrong,85,70,57336
NumeroArmstrong,86,70,58368
NumeroArmstrong,87,60,58104
NumeroArmstrong,88,80,57312
NumeroArmstrong,89,60,57464
NumeroArmstrong,90,70,58112
NumeroArmstrong,91,60,57720
NumeroArmstrong,92,70,58712
NumeroArmstrong,93,70,57972
NumeroArmstrong,94,70,58496
NumeroArmstrong,95,70,57176
NumeroArmstrong,96,70,57944
NumeroArmstrong,97,60,57720
NumeroArmstrong,98,70,58084
NumeroArmstrong,99,60,58200
NumeroArmstrong,100,80,57708
NumerosPrimos,1,60,53368
NumerosPrimos,2,70,55256
NumerosPrimos,3,50,53624
NumerosPrimos,4,70,54264
NumerosPrimos,5,50,56408
NumerosPrimos,6,50,55028
NumerosPrimos,7,70,53240
NumerosPrimos,8,60,55536
NumerosPrimos,9,70,56184
NumerosPrimos,10,50,53612
NumerosPrimos,11,70,55384
NumerosPrimos,12,60,55044
NumerosPrimos,13,70,53488
NumerosPrimos,14,60,53752
NumerosPrimos,15,70,55276
NumerosPrimos,16,50,56444
NumerosPrimos,17,70,56308
NumerosPrimos,18,50,55276
NumerosPrimos,19,70,54904
NumerosPrimos,20,60,55928
NumerosPrimos,21,70,56152
NumerosPrimos,22,60,56312
NumerosPrimos,23,70,40952
NumerosPrimos,24,70,56312
NumerosPrimos,25,70,56056
NumerosPrimos,26,60,55920
NumerosPrimos,27,70,54780
NumerosPrimos,28,50,53752
NumerosPrimos,29,70,54140
NumerosPrimos,30,60,55928
NumerosPrimos,31,70,53492
NumerosPrimos,32,50,53744
NumerosPrimos,33,60,55120
NumerosPrimos,34,60,55000
NumerosPrimos,35,70,56700
NumerosPrimos,36,50,55920
NumerosPrimos,37,80,56300
NumerosPrimos,38,60,55288
NumerosPrimos,39,70,55288
NumerosPrimos,40,50,53632
NumerosPrimos,41,50,53752
NumerosPrimos,42,50,53368
NumerosPrimos,43,70,55020
NumerosPrimos,44,60,56556
NumerosPrimos,45,70,55536
NumerosPrimos,46,50,53620
NumerosPrimos,47,50,40428
NumerosPrimos,48,70,40568
NumerosPrimos,49,50,53612
NumerosPrimos,50,70,55128
NumerosPrimos,51,60,56952
NumerosPrimos,52,70,55420
NumerosPrimos,53,60,55284
NumerosPrimos,54,80,55136
NumerosPrimos,55,80,53752
NumerosPrimos,56,70,53572
NumerosPrimos,57,60,53616
NumerosPrimos,58,60,53368
NumerosPrimos,59,50,53752
NumerosPrimos,60,70,53464
NumerosPrimos,61,50,53880
NumerosPrimos,62,70,56440
NumerosPrimos,63,60,56536
NumerosPrimos,64,70,53112
NumerosPrimos,65,50,56556
NumerosPrimos,66,70,53636
NumerosPrimos,67,50,54364
NumerosPrimos,68,70,54380
NumerosPrimos,69,50,53616
NumerosPrimos,70,60,53592
NumerosPrimos,71,70,56312
NumerosPrimos,72,50,53880
NumerosPrimos,73,70,56920
NumerosPrimos,74,50,54896
NumerosPrimos,75,70,53496
NumerosPrimos,76,50,53752
NumerosPrimos,77,80,54256
NumerosPrimos,78,60,56440
NumerosPrimos,79,70,54136
NumerosPrimos,80,60,53368
NumerosPrimos,81,70,53360
NumerosPrimos,82,60,56696
NumerosPrimos,83,80,56440
NumerosPrimos,84,60,54904
NumerosPrimos,85,60,53592
NumerosPrimos,86,50,53752
NumerosPrimos,87,70,54896
NumerosPrimos,88,60,54908
NumerosPrimos,89,50,55672
NumerosPrimos,90,70,54896
NumerosPrimos,91,60,54616
NumerosPrimos,92,70,56560
NumerosPrimos,93,50,53444
NumerosPrimos,94,60,53364
