File,LOC,Vocabulary,Length,Volume,Level,Difficulty,Effort,Faults,Edges,Nodes,Unconnected nodes,CyclomaticNumber,Refactored
MCDEuclides,12,38,69,362.107,0.069231,14.444444,5230.4344,0.120702,1,2,0,1,0
SumaPares,11,38,72,377.8508,0.074074,13.5,5100.9855,0.12595,1,2,0,1,0
PromedioArray,12,43,79,428.6749,0.07483,13.363636,5728.6557,0.142892,1,2,0,1,0
InvertirNumero,12,38,69,362.107,0.062271,16.058824,5815.0124,0.120702,1,2,0,1,0
MinimoArray,11,42,81,436.7777,0.071429,14.0,6114.888,0.145593,1,2,0,1,0
AreaRectangulo,9,34,54,274.723,0.1,10.0,2747.2299,0.091574,1,2,0,1,0
AreaEsfera,8,35,55,282.1106,0.10084,9.916667,2797.5964,0.094037,1,2,0,1,0
VolumenCono,9,39,66,348.8365,0.093333,10.714286,3737.5344,0.116279,1,2,0,1,0
CalculoIMC,9,35,58,297.4984,0.089947,11.117647,3307.4824,0.099166,1,2,0,1,0
MultiplicarArray,11,42,81,436.7777,0.078571,12.727273,5558.9891,0.145593,1,2,0,1,0
Moda,19,48,148,826.5745,0.041017,24.38,20151.8851,0.275525,1,2,0,1,0
FactorialNumero,11,39,71,375.2636,0.065934,15.166667,5691.4973,0.125088,1,2,0,1,0
Fuerza,9,35,56,287.2398,0.10084,9.916667,2848.4618,0.095747,1,2,0,1,0
AreaTriangulo,9,36,58,299.8557,0.095238,10.5,3148.4843,0.099952,1,2,0,1,0
RestaNumeros,9,36,62,320.5354,0.093137,10.736842,3441.5374,0.106845,1,2,0,1,0
Potencia,9,35,56,287.2398,0.10084,9.916667,2848.4618,0.095747,1,2,0,1,0
CalculoSalario,9,35,54,276.9813,0.094444,10.588235,2932.743,0.092327,1,2,0,1,0
MediaPonderada,12,47,98,544.3497,0.061381,16.291667,8868.364,0.18145,1,2,0,1,0
LeyOhm,9,35,56,287.2398,0.10084,9.916667,2848.4618,0.095747,1,2,0,1,0
Densidad,9,35,56,287.2398,0.10084,9.916667,2848.4618,0.095747,1,2,0,1,0
Cuartiles,14,54,138,794.1745,0.056122,17.818182,14150.7452,0.264725,1,2,0,1,0
NumeroPositivoNegativo,13,38,83,435.578,0.057823,17.294118,7532.9369,0.145193,1,2,0,1,0
DesviacionEstandar,18,52,133,758.1585,0.054545,18.333333,13899.5722,0.252719,1,2,0,1,0
SerieFibonacci,14,42,97,523.0548,0.057895,17.272727,9034.5827,0.174352,1,2,0,1,0
NumeroMenor,10,38,75,393.5946,0.068966,14.5,5707.1212,0.131198,1,2,0,1,0
ConversionHexadecimal,8,33,54,272.3973,0.10119,9.882353,2691.9261,0.090799,1,2,0,1,0
CalculoVelocidad,9,35,56,287.2398,0.10084,9.916667,2848.4618,0.095747,1,2,0,1,0
FuncionCoseno,9,36,66,341.2151,0.1,10.0,3412.1505,0.113738,1,2,0,1,0
TablasMultiplicar,10,40,81,431.0762,0.066667,15.0,6466.1426,0.143692,1,2,0,1,0
NumerosPrimos,17,50,117,660.3312,0.052846,18.923077,12495.4976,0.22011,1,2,0,1,0
DiasAAnios,9,37,64,333.405,0.084444,11.842105,3948.2173,0.111135,1,2,0,1,0
TransponerMatriz,19,46,181,999.7647,0.041051,24.36,24354.2684,0.333255,1,2,0,1,0
