File,LOC,Vocabulary,Length,Volume,Level,Difficulty,Effort,Faults,Edges,Nodes,Unconnected nodes,CyclomaticNumber,Refactored
MCDEuclides,18,43,122,662.0043,0.05,20.0,13240.086,0.220668,1,2,0,1,1
SumaPares,11,38,72,377.8508,0.074074,13.5,5100.9855,0.12595,1,2,0,1,1
PromedioArray,18,53,123,704.5342,0.050657,19.740741,13908.0273,0.234845,2,2,0,2,1
InvertirNumero,12,38,69,362.107,0.062271,16.058824,5815.0124,0.120702,1,2,0,1,1
MinimoArray,20,53,142,813.3647,0.04419,22.62963,18406.142,0.271122,2,2,0,2,1
AreaRectangulo,9,34,54,274.723,0.1,10.0,2747.2299,0.091574,1,2,0,1,1
AreaEsfera,14,45,91,499.7586,0.067449,14.826087,7409.4649,0.166586,1,2,0,1,1
VolumenCono,15,50,111,626.468,0.055556,18.0,11276.4247,0.208823,2,2,0,2,1
CalculoIMC,9,35,58,297.4984,0.089947,11.117647,3307.4824,0.099166,1,2,0,1,1
MultiplicarArray,21,59,168,988.284,0.046154,21.666667,21412.8207,0.329428,1,2,0,1,1
Moda,28,68,221,1345.3293,0.037106,26.95,36256.6243,0.448443,2,2,0,2,1
FactorialNumero,22,58,135,790.8274,0.044444,22.5,17793.6173,0.263609,1,2,0,1,1
Fuerza,9,35,56,287.2398,0.10084,9.916667,2848.4618,0.095747,1,2,0,1,1
AreaTriangulo,9,36,58,299.8557,0.095238,10.5,3148.4843,0.099952,1,2,0,1,1
RestaNumeros,13,39,84,443.9738,0.077778,12.857143,5708.2344,0.147991,1,2,0,1,1
Potencia,9,35,56,287.2398,0.10084,9.916667,2848.4618,0.095747,1,2,0,1,1
CalculoSalario,21,53,142,813.3647,0.045714,21.875,17792.3529,0.271122,2,2,0,2,1
MediaPonderada,27,64,206,1236.0,0.03285,30.441176,37625.2941,0.412,3,2,0,3,1
LeyOhm,9,35,56,287.2398,0.10084,9.916667,2848.4618,0.095747,1,2,0,1,1
Densidad,9,35,56,287.2398,0.10084,9.916667,2848.4618,0.095747,1,2,0,1,1
Cuartiles,32,86,324,2082.1098,0.033038,30.267857,63021.0014,0.694037,2,2,0,2,1
NumeroPositivoNegativo,13,38,83,435.578,0.057823,17.294118,7532.9369,0.145193,1,2,0,1,1
DesviacionEstandar,18,52,133,758.1585,0.054545,18.333333,13899.5722,0.252719,1,2,0,1,1
SerieFibonacci,14,42,97,523.0548,0.057895,17.272727,9034.5827,0.174352,1,2,0,1,1
NumeroMenor,10,38,75,393.5946,0.068966,14.5,5707.1212,0.131198,1,2,0,1,1
ConversionHexadecimal,14,42,90,485.3086,0.075658,13.217391,6414.5132,0.16177,1,2,0,1,1
CalculoVelocidad,9,35,56,287.2398,0.10084,9.916667,2848.4618,0.095747,1,2,0,1,1
FuncionCoseno,12,39,85,449.2592,0.086275,11.590909,5207.3224,0.149753,1,2,0,1,1
TablasMultiplicar,10,40,81,431.0762,0.066667,15.0,6466.1426,0.143692,1,2,0,1,1
NumerosPrimos,17,50,117,660.3312,0.052846,18.923077,12495.4976,0.22011,1,2,0,1,1
DiasAAnios,29,54,172,989.8407,0.037135,26.928571,26654.9947,0.329947,1,2,0,1,1
TransponerMatriz,28,61,234,1387.7925,0.035979,27.794118,38572.469,0.462598,2,2,0,2,1
RangoEstadistico,20,58,154,902.1291,0.043326,23.080645,20821.721,0.30071,2,2,0,2,1
MCM,24,50,164,925.5924,0.031291,31.958333,29580.3909,0.308531,2,2,0,2,1
VolumenCubo,8,35,54,276.9813,0.105882,9.444444,2615.9343,0.092327,1,2,0,1,1
Mediana,15,51,127,720.398,0.046875,21.333333,15368.4911,0.240133,1,2,0,1,1
SumaMatrices,32,66,299,1807.2738,0.030498,32.789474,59259.5581,0.602425,3,2,0,3,1
SumaArray,18,52,116,661.251,0.052632,19.0,12563.7691,0.220417,2,2,0,2,1
SegundosAHoras,31,54,193,1110.6933,0.035152,28.448276,31597.3091,0.370231,1,2,0,1,1
VolumenEsfera,14,48,100,558.4963,0.063939,15.64,8734.8814,0.186165,1,2,0,1,1
Varianza,26,62,185,1101.5263,0.038549,25.941176,28574.8886,0.367175,2,2,0,2,1
SumaPrimeroN,11,39,71,375.2636,0.073077,13.684211,5135.1855,0.125088,1,2,0,1,1
OrdenarArray,18,54,138,794.1745,0.063241,15.8125,12557.8839,0.264725,1,2,0,1,1
SumaImpares,11,39,72,380.549,0.077973,12.825,4880.5404,0.12685,1,2,0,1,1
Porcentaje,9,38,66,346.3632,0.088889,11.25,3896.5862,0.115454,1,2,0,1,1
CalculoPropina,10,37,63,328.1956,0.087963,11.368421,3731.0653,0.109399,1,2,0,1,1
ContarPares,20,57,129,752.4428,0.056777,17.612903,13252.7024,0.250814,1,2,0,1,1
CalculoEdad,23,54,150,863.2331,0.050861,19.66129,16972.2771,0.287744,1,2,0,1,1
NumeroArmstrong,22,58,141,825.9753,0.042017,23.8,19658.2126,0.275325,2,2,0,2,1
